movie,recommendation_1,recommendation_2,recommendation_3,recommendation_4,recommendation_5
Butterfly on a Wheel,Easy Money,Dead Man Down,Nine Queens,I Am Wrath,Point Blank
Zambezia,The Thief and the Cobbler,City of Ember,Metropolis,A Monster in Paris,Curious George
Ramanujan,Get on Up,Coal Miner's Daughter,Ip Man 3,A Passage to India,A Beautiful Mind
Dwegons,Darkness,Dinosaur,Over the Hedge,Growing Up Smith,Hotel Transylvania 2
Hands of Stone,End of the Spear,Cinco de Mayo: La Batalla,Stick It,The Heart of Me,The Sleepwalker
Survivor,Nighthawks,The Siege,New Year's Eve,Phone Booth,Zero Dark Thirty
The Frozen Ground,The Raven,Suspect Zero,The Pledge,Frenzy,Easy Money
The Painted Veil,Anna Karenina,The Last Five Years,A Tale of Three Cities,Yes,You Will Meet a Tall Dark Stranger
The Baader Meinhof Complex,Amidst the Devil's Wings,Find Me Guilty,United 93,Blood Ties,Easy Money
Dances with Wolves,Love Me Tender,Wyatt Earp,Open Range,The Postman,The Revenant
Bad Teacher,World's Greatest Dad,Here Comes the Boom,Snow Day,Larry Crowne,Election
Sea of Love,City By The Sea,Insomnia,Frenzy,In the Valley of Elah,The Postman Always Rings Twice
A Cinderella Story,Diner,Napoleon Dynamite,I Am Sam,The Lizzie McGuire Movie,Jawbreaker
Scream,Scream 3,Prom Night,Jennifer's Body,My Soul to Take,Stir of Echoes
Thir13en Ghosts,Disturbia,GirlHouse,Devil,House of Sand and Fog,The Others
The Shining,Dirty Pretty Things,1408,The Ring Two,Bobby,Maid in Manhattan
Back to the Future,Back to the Future Part II,Back to the Future Part III,Tomorrowland,Jimmy Neutron: Boy Genius,Date Movie
House on Haunted Hill,Devil,The Stewardesses,A Beginner's Guide to Snuff,#Horror,Orphan
I Can Do Bad All By Myself,Madea's Witness Protection,Bad Grandpa,Happy Christmas,Madea Goes to Jail,A Madea Christmas
Fight Valley,Close Range,Rachel Getting Married,The Savages,Never Back Down,The Eye
The Switch,The Object of My Affection,When Harry Met Sally...,Ghost World,The Inkwell,Where the Heart Is
Just Married,Ta Ra Rum Pum,Silent House,Shrek 2,Must Love Dogs,Heartbeeps
The Devil's Double,Amidst the Devil's Wings,Point Blank,Easy Money,Dead Man Down,Hitman
Thomas and the Magic Railroad,The Phantom,The Road to El Dorado,Reservoir Dogs,This Christmas,About Time
The Crazies,River's Edge,R.L. Stine's Monsterville: The Cabinet of Souls,Light from the Darkroom,American Beast,No Strings Attached
Spirited Away,Jimmy Neutron: Boy Genius,Return to Never Land,The Croods,Mirrormask,Coraline
Firestorm,Jimmy and Judy,Code of Honor,Bon Cop Bad Cop,Man on a Ledge,The Departed
The Bounty,Silver Medalist,Bloody Sunday,Titanic,Cutthroat Island,In the Heart of the Sea
The Book Thief,The Believer,The Boy in the Striped Pyjamas,The Slaughter Rule,Ida,Black Book
Sex Drive,Miss March,The Dirties,LOL,No Strings Attached,Kiss the Bride
Leap Year,Ida,Freaky Friday,My Big Fat Greek Wedding 2,Anna and the King,Never Again
The Fall of the Roman Empire,Character,Quo Vadis,Paa,1776,N-Secure
Take Me Home Tonight,Def Jam's How to Be a Player,Kiss the Bride,Tiny Furniture,Can't Hardly Wait,The Dirties
Won't Back Down,Hamlet 2,The Class,Far from Men,"Yours, Mine and Ours",Freedom Writers
The Nutcracker,The Nutcracker: The Untold Story,Mirrormask,The Chronicles of Narnia: The Voyage of the Dawn Treader,Stuart Little,The Bélier Family
Kansas City,The Cotton Club,Bulworth,Easy Money,Misconduct,Footloose
Indignation,Inchon,Like Crazy,Brooklyn,Born on the Fourth of July,Operation Chromite
The Amityville Horror,White Noise 2: The Light,The Orphanage,Sinister,Out of the Dark,Black Christmas
Adaptation.,Boynton Beach Club,Young Adult,Stolen,Riding in Cars with Boys,Capote
Land of the Dead,Day of the Dead,Resident Evil: Extinction,I Am Legend,Zombieland,Night of the Living Dead
Out of Inferno,Silver Medalist,Tangled,The Crew,Last Vegas,The Best Years of Our Lives
Fear and Loathing in Las Vegas,Undiscovered,Water & Power,Full Frontal,Supercross,Flight of the Phoenix
The Invention of Lying,Hidden Away,Cheri,The Lunchbox,Mirrormask,Virgin Territory
Neighbors,Neighbors 2: Sorority Rising,Three Men and a Baby,Baby's Day Out,Baby Geniuses,Superbabies: Baby Geniuses 2
The Mask,Son of the Mask,Birthday Girl,Inside Man,Bandits,Checkmate
Big,Happy Christmas,The Inkwell,Growing Up Smith,Charlie and the Chocolate Factory,Ramona and Beezus
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Furry Vengeance,The Greatest Movie Ever Sold,Reds,The Devil Wears Prada,About Last Night
Legally Blonde,Steppin: The Movie,Road Trip,"Legally Blonde 2: Red, White & Blonde",Say It Isn't So,Neighbors 2: Sorority Rising
Star Trek III: The Search for Spock,Star Trek V: The Final Frontier,Star Trek VI: The Undiscovered Country,Star Trek IV: The Voyage Home,Star Trek: The Motion Picture,Star Trek: Insurrection
The Exorcism of Emily Rose,The Crime of Padre Amaro,The Exorcist,The Man from Snowy River,Frequency,The Possession
Deuce Bigalow: Male Gigolo,House of Sand and Fog,Love and Other Catastrophes,You Can't Take It With You,GirlHouse,Disturbia
Left Behind,Limbo,Damnation Alley,The Helix... Loaded,Devil,Megiddo: The Omega Code 2
The Family Stone,Love the Coopers,Christmas with the Kranks,A Charlie Brown Christmas,Arthur Christmas,Happy Christmas
Barbershop 2:  Back in Business,Barbershop,Little Boy,The Salon,Pokémon: Spell of the Unknown,Hidden Away
Bad Santa,Arthur Christmas,The Santa Clause,A Charlie Brown Christmas,Nine Queens,Scrooged
Austin Powers: International Man of Mystery,Austin Powers: The Spy Who Shagged Me,Austin Powers in Goldmember,Office Space,The Helix... Loaded,Jekyll and Hyde ... Together Again
My Big Fat Greek Wedding 2,Another Happy Day,Mambo Italiano,Eulogy,Extreme Movie,Christmas Mail
Diary of a Wimpy Kid: Rodrick Rules,Diary of a Wimpy Kid: Dog Days,Diary of a Wimpy Kid,The Lizzie McGuire Movie,Snow Day,Welcome to the Dollhouse
Predator,Aliens vs Predator: Requiem,AVP: Alien vs. Predator,Predators,Predator 2,Avatar
Amadeus,Nowhere Boy,Scott Walker: 30 Century Man,Song One,Mr. Holland's Opus,Once
Prom Night,Scream,The Texas Chain Saw Massacre,Jennifer's Body,River's Edge,Light from the Darkroom
Mean Girls,The DUFF,Napoleon Dynamite,Snow Day,"I Love You, Beth Cooper",My Super Ex-Girlfriend
Under the Tuscan Sun,Partition,Somewhere,Anomalisa,Friends with Money,Raising Helen
Gosford Park,Redemption Road,Trash,Nine Queens,The Heart of Me,End of the Spear
Peggy Sue Got Married,Sliding Doors,Mumford,Lovely & Amazing,Midnight in Paris,CJ7
Birdman,Griff the Invisible,House Party 2,Midnight Cabaret,The Dirties,Thumbsucker
Blue Jasmine,Four Single Fathers,Reality Show,Shame,New Year's Eve,Mutual Appreciation
United 93,Amidst the Devil's Wings,Nighthawks,The Siege,Shooter,Nine Queens
Honey,Tupac: Resurrection,B-Girl,You Got Served,Hustle & Flow,Footloose
Spy Hard,Agent Cody Banks,G-Force,TRON: Legacy,The Devil's Tomb,The Golden Child
The Fog,After,The Lost Boys,Kingdom of the Spiders,Limbo,Forget Me Not
Soul Surfer,The Shallows,"Surfer, Dude",Escobar: Paradise Lost,Undisputed,Bobby Jones: Stroke of Genius
Catch-22,Red Tails,Fort McCoy,Unbroken,Inchon,Enemy at the Gates
Observe and Report,Paul Blart: Mall Cop,Amidst the Devil's Wings,Paul Blart: Mall Cop 2,Nine Queens,I Am Wrath
Conan the Destroyer,Conan the Barbarian,Red Sonja,Snow White and the Huntsman,Snow White and the Seven Dwarfs,Last Action Hero
Raging Bull,Cinderella Man,Nicholas Nickleby,This Christmas,Another Year,Samantha: An American Girl Holiday
Love Happens,Maid in Manhattan,Paparazzi,The Ghost Writer,Abandoned,Rebecca
Young Sherlock Holmes,Sherlock Holmes,All Good Things,Deadfall,N-Secure,In Cold Blood
Fame,The Last Five Years,Raise Your Voice,Mutual Appreciation,The Sound of Music,Four Single Fathers
127 Hours,Puss in Boots,Alive,The 33,Silver Medalist,The Blue Butterfly
Small Time Crooks,American Heist,Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,Celebrity,Bananas,Bandits
Center Stage,Take the Lead,Flashdance,Mao's Last Dancer,ABCD (Any Body Can Dance),Step Up 2: The Streets
Love the Coopers,This Christmas,The Family Stone,Christmas with the Kranks,Eulogy,A Charlie Brown Christmas
Catch That Kid,The Young and Prodigious T.S. Spivet,Nicholas Nickleby,The Master of Disguise,Pete's Dragon,The Crime of Padre Amaro
Life as a House,Beginners,Cat on a Hot Tin Roof,3 Days to Kill,Big Fish,Timecrimes
Steve Jobs,Redemption Road,A Dangerous Method,Get on Up,The Greatest Story Ever Told,Winnie Mandela
"I Love You, Beth Cooper",The Spectacular Now,Love and Other Catastrophes,Can't Hardly Wait,The DUFF,Napoleon Dynamite
Youth in Revolt,Escobar: Paradise Lost,Marley & Me,Diary of a Wimpy Kid,Anything Else,Are We There Yet?
The Legend of the Lone Ranger,The Lone Ranger,American Outlaws,All the Pretty Horses,The Other Side of Heaven,Young Guns
The Tailor of Panama,The Contender,Absolute Power,Selma,Gabriela,Spy Game
Blow Out,Grindhouse,Insidious: Chapter 3,Raising Cain,#Horror,Truth or Dare
Getaway,Drive Hard,3 Days to Kill,Driven,Drive Angry,Furious 7
The Ice Storm,Pieces of April,Rachel Getting Married,Crooklyn,Fat Albert,Betty Fisher and Other Stories
And So It Goes,Lovely & Amazing,Lage Raho Munna Bhai,Adam,Solitary Man,The Love Guru
Troop Beverly Hills,Up,"The Book of Mormon Movie, Volume 1: The Journey",Slums of Beverly Hills,The Croods,Dry Spell
Being Julia,Four Single Fathers,Raising Helen,I Dreamed of Africa,Man on the Moon,Living Out Loud
Nine 1/2 Weeks,Anomalisa,Next Stop Wonderland,Frida,Cyrus,The House of Mirth
Dragonslayer,Eragon,Your Highness,The Sorcerer's Apprentice,Mirrormask,The Hobbit: The Desolation of Smaug
The Last Station,Winnie Mandela,The New World,Becoming Jane,Forty Shades of Blue,Fair Game
Ed Wood,Notting Hill,Find Me Guilty,The Loss of Sexual Innocence,The True Story of Puss 'n Boots,Seabiscuit
Labor Day,Character,Paa,Betty Fisher and Other Stories,Camping Sauvage,Philomena
Mongol: The Rise of Genghis Khan,The Duchess,United Passions,The Loss of Sexual Innocence,The Libertine,The World's Fastest Indian
RockNRolla,Nine Queens,Amidst the Devil's Wings,The Transporter Refueled,S.W.A.T.,Eastern Promises
Megaforce,The Helix... Loaded,Starship Troopers,Small Soldiers,Killer Elite,Silver Medalist
Hamlet,Henry V,Divine Secrets of the Ya-Ya Sisterhood,Under the Same Moon,Little Boy,Departure
Mao's Last Dancer,Center Stage,Black Swan,Billy Elliot,Flashdance,Save the Last Dance
Midnight Special,When Did You Last See Your Father?,The Celebration,Character,Paa,Chain Reaction
Anything Else,Annie Hall,Raising Helen,Youth in Revolt,Shakespeare in Love,Up
The Railway Man,Red Tails,Schindler's List,Windtalkers,Proud,Letters from Iwo Jima
The White Ribbon,The Others,The Good German,Far from Men,Good,"Monsters, Inc."
Restoration,Witchboard,The Unborn,Darkness Falls,Goosebumps,The Grudge
The Wraith,Torque,Attack the Block,Halloween: The Curse of Michael Myers,River's Edge,Brighton Rock
Salton Sea,Amnesiac,Redemption Road,Arlington Road,Blood and Wine,N-Secure
Metallica: Through the Never,The Rocker,The Past Is a Grotesque Animal,Standing Ovation,Ong Bak 2,Caravans
The Informers,Kids,Boogie Nights,"First Love, Last Rites",Edmond,Crash
Carlos,Nine Queens,Easy Money,Jimmy and Judy,11:14,The Pledge
I Come with the Rain,The Missing Person,In the Valley of Elah,Water & Power,Demonic,Open Secret
One Man's Hero,Cinco de Mayo: La Batalla,We Were Soldiers,Lion of the Desert,The Thin Red Line,Red Tails
Day of the Dead,Diary of the Dead,Land of the Dead,Survival of the Dead,Night of the Living Dead,Creepshow
I Am Wrath,Jimmy and Judy,Dead Man Down,Amidst the Devil's Wings,The Blue Room,Nine Queens
Renaissance,Titan A.E.,In the Valley of Elah,Final Fantasy: The Spirits Within,A Scanner Darkly,Atlantis: The Lost Empire
Red Sonja,The Phantom,Conan the Destroyer,The Shadow,The Musketeer,The Covenant
Red Lights,The Pallbearer,Tom Jones,Made of Honor,Grave Encounters,Stir of Echoes
Superbad,Project X,Teeth,The Dirties,21 Jump Street,The DUFF
Madea Goes to Jail,Madea's Family Reunion,Madea's Witness Protection,A Madea Christmas,I Can Do Bad All By Myself,Good Deeds
Wolves,October Baby,Twixt,Underworld,Nomad: The Warrior,"Fat, Sick & Nearly Dead"
Step Up 2: The Streets,Flashdance,Step Up,ABCD (Any Body Can Dance),Desert Dancer,Center Stage
Hoodwinked!,Hoodwinked Too! Hood VS. Evil,Over the Hedge,Alpha and Omega: The Legend of the Saw Tooth Cave,Dwegons,My Big Fat Greek Wedding 2
Hotel Rwanda,Bobby,Proud,Red Tails,Schindler's List,Cinco de Mayo: La Batalla
Hitman,Silent Trigger,Open Road,The Devil's Double,The Assassin,From Russia with Love
Black Nativity,A Charlie Brown Christmas,Arthur Christmas,Fame,A Very Harold & Kumar Christmas,The Muppet Christmas Carol
The Prince,RED 2,Amour,Stolen,Open Secret,Taken 2
City of Ghosts,The Blue Room,White Noise 2: The Light,Virtuosity,This Thing of Ours,There's Something About Mary
The Others,Disturbia,Goddess of Love,The White Ribbon,Gosford Park,House at the End of the Drive
Aliens,Alien,Alien³,Escape from Planet Earth,Alien: Resurrection,Star Trek: Insurrection
My Fair Lady,Bandslam,The Sound of Music,Save the Last Dance,High School Musical 3: Senior Year,Footloose
I Know What You Did Last Summer,River's Edge,The Curse of Downers Grove,Sorority Row,Detention,"I Love You, Beth Cooper"
Let's Be Cops,Wonderland,Get Low,Beverly Hills Cop II,Project X,Bon Cop Bad Cop
Sideways,Bottle Shock,Boynton Beach Club,The Four Seasons,Hope Springs,Anomalisa
Beerfest,Karachi se Lahore,Bad Grandpa,Growing Up Smith,"Guten Tag, Ramón",The Deported
Halloween,Black Christmas,Hayride,Snow White: A Deadly Summer,R.L. Stine's Monsterville: The Cabinet of Souls,Halloween II
Good Boy!,Benji,Space Dogs,Marley & Me,Dick,The Shaggy Dog
The Best Man Holiday,Karachi se Lahore,The World's End,River's Edge,The Best Man,National Lampoon’s Van Wilder
Smokin' Aces,Corky Romano,Wild Card,Down Terrace,Running Scared,Lethal Weapon 3
Saw: The Final Chapter,Saw V,Saw II,Punisher: War Zone,Saw IV,Saw VI
40 Days and 40 Nights,Cyrus,Anomalisa,Lovely & Amazing,Take Me Home Tonight,How to Lose a Guy in 10 Days
A Night at the Roxbury,What Women Want,Dick,Beauty Shop,Set It Off,For Colored Girls
Beastly,"I Love You, Beth Cooper",The Spectacular Now,Paper Towns,A Walk to Remember,Blood and Chocolate
The Hills Have Eyes,Darkness,Ri¢hie Ri¢h,Serial Mom,The Sound of Music,Johnson Family Vacation
Dickie Roberts: Former Child Star,The Borrowers,"Remember Me, My Love",My Big Fat Greek Wedding 2,Asterix at the Olympic Games,Welcome Home Roscoe Jenkins
"McFarland, USA",My All American,Glory Road,The Mighty Macs,Tiger Orange,Lords of Dogtown
Lottery Ticket,All About the Benjamins,Ong Bak 2,Blue Like Jazz,The Slaughter Rule,Igby Goes Down
ATL,The Dirties,Blood Done Sign My Name,River's Edge,Nothing But a Man,End of the Spear
Pitch Perfect,Standing Ovation,Sydney White,Loser,Yentl,Bathing Beauty
Summer Catch,The Inkwell,Beer League,A League of Their Own,Kiss the Bride,Whatever It Takes
A Simple Plan,Nine Queens,Blood Ties,Maria Full of Grace,Mean Streets,End of Watch
They,A Nightmare on Elm Street 5: The Dream Child,Session 9,Green Room,The Boy,The Awakening
Larry the Cable Guy: Health Inspector,My Big Fat Greek Wedding 2,Crocodile Dundee,The Return of the Pink Panther,Welcome Home Roscoe Jenkins,Extreme Movie
The Adventures of Elmo in Grouchland,Marley & Me,Over the Hedge,High Heels and Low Lifes,U-571,3 Strikes
Brooklyn's Finest,Pride and Glory,I Am Wrath,Cop Land,Jimmy and Judy,Man on a Ledge
55 Days at Peking,The Greatest Story Ever Told,Hero,Amidst the Devil's Wings,Operation Chromite,Kingdom of Heaven
Evil Dead,The Evil Dead,The Ruins,Evil Dead II,My Name Is Bruce,Scary Movie 5
My Life in Ruins,Before Midnight,My Big Fat Greek Wedding 2,Sydney White,My Big Fat Greek Wedding,Rocket Singh: Salesman of the Year
American Dreamz,Standing Ovation,Blue Like Jazz,Nicholas Nickleby,Bambi,Four Single Fathers
Superman IV: The Quest for Peace,Superman II,Superman III,Superman Returns,Superman,Man of Steel
How She Move,There Goes My Baby,Easy A,Take the Lead,Step Up Revolution,Good Deeds
Running Scared,Carlos,Amidst the Devil's Wings,Smokin' Aces,Blood and Wine,Nine Queens
Bobby Jones: Stroke of Genius,For Love of the Game,Against the Ropes,The Longshots,Tin Cup,The Loss of Sexual Innocence
Shanghai Surprise,National Lampoon's Vacation,Puss in Boots,Troll Hunter,Anaconda,Star Trek
The Illusionist,Aladdin,Code 46,Asterix at the Olympic Games,Cinderella,Love Letters
Roar,Madagascar,The Legend of Tarzan,Jungle Shuffle,The Ghost and the Darkness,George of the Jungle
Veronica Guerin,The Next Three Days,Wonderland,Nine Queens,Zodiac,Romeo Is Bleeding
Escobar: Paradise Lost,Nicholas Nickleby,Youth in Revolt,The Master of Disguise,Born Of War,The Maid's Room
Southland Tales,The Helix... Loaded,Chain Reaction,Timecop,Silver Medalist,Mulholland Drive
Dragon Hunters,How to Train Your Dragon 2,Dragon Nest: Warriors' Dawn,How to Train Your Dragon,George and the Dragon,Pete's Dragon
Damnation Alley,9,Flyboys,Left Behind,Red Tails,Catch-22
The Apparition,Grave Encounters,The Awakening,The Lazarus Effect,The Conjuring,London to Brighton
My Girl,The Man from Snowy River,Selena,Little Boy,The Crime of Padre Amaro,Blue Car
Fur: An Imaginary Portrait of Diane Arbus,"Synecdoche, New York",Raising Helen,Tiny Furniture,Four Single Fathers,Dream House
Wall Street,The Wolf of Wall Street,Wall Street: Money Never Sleeps,Boiler Room,Easy Money,The Rainmaker
Sense and Sensibility,Pride & Prejudice,Bride & Prejudice,Lovely & Amazing,Winter's Tale,Mary Reilly
Becoming Jane,My Big Fat Greek Wedding,Atonement,The Twilight Saga: Breaking Dawn - Part 2,"New York, New York",Code 46
Sydney White,Loser,Damsels in Distress,Like Crazy,Pitch Perfect,Fifty Shades of Black
House of Sand and Fog,Disturbia,GirlHouse,Thir13en Ghosts,Deuce Bigalow: Male Gigolo,House at the End of the Drive
Dead Poets Society,The Class,Notes on a Scandal,World's Greatest Dad,The Mirror Has Two Faces,Snow Day
Dumb and Dumber,Dysfunctional Friends,Cliffhanger,Dumb and Dumber To,The Brass Teapot,2 Guns
When Harry Met Sally...,Anomalisa,The Switch,Four Single Fathers,The Story of Us,Supporting Characters
The Verdict,A Civil Action,A Time to Kill,Philadelphia,My Cousin Vinny,12 Angry Men
